Product code;Product name;List price;Price;Sale;Product line;Quantity;Downloadable;Category;Secondary categories;Description;Features;;Meta keywords;Meta description;Search words;Page title;
RGI-0040;Термос Bullet, 0,25л  [93-TE-B-1-250];260;260;0;Bullet;100;0;Термосы///Термосы с узким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-B-1-250]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[0,25]; Объем: T[0,25 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Bullet, 0,25л ; 
RGI-0041;Термос Bullet, 0,5 л [93-TE-B-1-500];330;330;0;Bullet;100;0;Термосы///Термосы с узким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-B-1-500]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[0,5]; Объем: T[0,5 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Bullet, 0,5 л; 
RGI-0042;Термос Bullet красный, 0,5 л [93-TE-B-1-500R];370;370;0;Bullet;100;0;Термосы///Термосы с узким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-B-1-500R]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[0,5]; Объем: T[0,5 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Bullet красный, 0,5 л; 
RGI-0043;Термос Bullet бронзовый, 0,5 л [93-TE-B-1-500B];370;370;0;Bullet;100;0;Термосы///Термосы с узким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-B-1-500B]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[0,5]; Объем: T[0,5 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Bullet бронзовый, 0,5 л; 
RGI-0044;Термос Bullet, 0,8 л [93-TE-B-1-800];490;490;0;Bullet;100;0;Термосы///Термосы с узким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-B-1-800]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[0,8]; Объем: T[0,8 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Bullet, 0,8 л; 
RGI-0045;Термос Bullet красный, 0,8 л [93-TE-B-1-800R];530;530;0;Bullet;100;0;Термосы///Термосы с узким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-B-1-800R]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[0,8]; Объем: T[0,8 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Bullet красный, 0,8 л; 
RGI-0046;Термос Bullet бронзовый, 0,8 л [93-TE-B-1-800B];530;530;0;Bullet;100;0;Термосы///Термосы с узким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-B-1-800B]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[0,8]; Объем: T[0,8 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Bullet бронзовый, 0,8 л; 
RGI-0047;Термос Bullet, 1 л [93-TE-B-1-1000];540;540;0;Bullet;100;0;Термосы///Термосы с узким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-B-1-1000]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[1]; Объем: T[1 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Bullet, 1 л; 
RGI-0048;Термос Bullet красный, 1 л [93-TE-B-1-1000R];590;590;0;Bullet;100;0;Термосы///Термосы с узким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-B-1-1000R]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[1]; Объем: T[1 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Bullet красный, 1 л; 
RGI-0049;Термос Bullet бронзовый, 1 л [93-TE-B-1-1000B];590;590;0;Bullet;100;0;Термосы///Термосы с узким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-B-1-1000B]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[1]; Объем: T[1 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Bullet бронзовый, 1 л; 
RGI-0050;Термос Bullet, 0,5 л [93-TE-B-2-500];360;360;0;Bullet;100;0;Термосы///Термосы с узким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-B-2-500]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[0,5]; Объем: T[0,5 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Bullet, 0,5 л; 
RGI-0051;Термос Bullet, 0,8 л [93-TE-B-2-800];520;520;0;Bullet;100;0;Термосы///Термосы с узким горлом;; ;"Производитель: E[Regent Inox, Италия]; Производители (фильтры): E[Regent Inox]; Артикул производителя: T[93-TE-B-2-800]; Материал (фильтры): E[Сталь]; Материал: T[нержавеющая сталь]; Объем л. (фильтры): O[0,8]; Объем: T[0,8 л]; Диаметр, см: O[]; Длина, см: O[]; Ширина, см: O[]; Глубина, см: O[]; Высота, см: O[]; Вес, кг: O[]; Примечания: T[]";;;; ;Термос Bullet, 0,8 л; 
